"12gb -- Prices of Domestic Fuels in Energy Production (VAT not included), 1999Q3-2023Q3"

"Quarter","Domestic fuel","Price (eur/MWh)","Price, year-on-year change (%)"
"2020Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",16.3,-1.6
"2020Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",13.3,-1.9
"2020Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",20.0,-6.1
"2020Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",17.0,-7.1
"2020Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",16.2,-0.9
"2020Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.2,-1.0
"2020Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2020Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2020Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",16.1,-1.5
"2020Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.1,-1.8
"2020Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2020Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2021Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",18.8,15.1
"2021Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",13.1,-1.8
"2021Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2021Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2021Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",18.7,14.8
"2021Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",13.0,-2.2
"2021Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2021Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2021Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",.,.
"2021Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2021Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2021Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2021Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",.,.
"2021Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2021Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2021Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2022Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",17.8,-5.3
"2022Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",12.1,-7.6
"2022Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2022Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2022Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",18.0,-4.0
"2022Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",12.3,-5.8
"2022Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2022Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2022Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",19.1,.
"2022Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.4,.
"2022Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2022Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2022Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",19.3,.
"2022Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.6,.
"2022Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2022Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2023Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",20.8,17.1
"2023Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",15.1,25.2
"2023Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2023Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2023Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",20.8,16.1
"2023Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",15.1,23.6
"2023Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2023Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2023Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",21.6,13.3
"2023Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",15.9,19.0
"2023Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",.,.
"2023Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
