"12gb -- Prices of Domestic Fuels in Energy Production (VAT not included), 1999Q3-2023Q3"

"Quarter","Domestic fuel","Price (eur/MWh)","Price, year-on-year change (%)"
"2003Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2003Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",10.0,4.1
"2003Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2004Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",9.4,1.0
"2004Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2004Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",10.1,3.3
"2004Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2004Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",9.4,1.1
"2004Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2004Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",10.0,2.6
"2004Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2004Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",9.7,1.7
"2004Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2004Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",10.6,5.5
"2004Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2004Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",9.7,3.7
"2004Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2004Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",10.9,9.6
"2004Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2005Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",9.8,4.4
"2005Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2005Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",11.2,11.8
"2005Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2005Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",9.8,4.7
"2005Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2005Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",11.2,12.3
"2005Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2005Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",8.2,-15.5
"2005Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",8.2,.
"2005Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",9.6,-10.0
"2005Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",9.6,.
"2005Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",8.1,-17.0
"2005Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",8.1,.
"2005Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",10.2,-6.6
"2005Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",10.2,.
"2006Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",8.1,-16.9
"2006Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",8.1,.
"2006Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",10.6,-5.8
"2006Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",10.6,.
"2006Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",8.1,-17.1
"2006Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",8.1,.
"2006Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",11.0,-2.5
"2006Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",11.0,.
"2006Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",8.2,1.1
"2006Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",8.2,1.1
"2006Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",11.0,14.5
"2006Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",11.0,14.5
"2006Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",8.1,1.0
"2006Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",8.1,1.0
"2006Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",10.9,6.3
"2006Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",10.9,6.3
"2007Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",8.3,1.6
"2007Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",8.3,1.6
"2007Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",11.5,9.0
"2007Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",11.5,9.0
"2007Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",8.3,2.1
"2007Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",8.3,2.1
"2007Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",11.6,6.0
"2007Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",11.6,6.0
"2007Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",8.5,3.5
"2007Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",8.5,3.5
"2007Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",11.7,6.8
"2007Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",11.7,6.8
"2007Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",8.5,4.8
"2007Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",8.5,4.8
"2007Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",11.8,8.4
"2007Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",11.8,8.4
"2008Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",8.5,2.5
"2008Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",8.5,2.5
"2008Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",12.6,9.0
"2008Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",12.6,9.0
"2008Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",8.5,2.0
"2008Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",8.5,2.0
"2008Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",12.6,8.4
"2008Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",12.6,8.4
"2008Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",10.9,28.0
"2008Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",10.9,28.0
"2008Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",13.3,13.6
"2008Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",13.3,13.6
"2008Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",10.9,28.4
"2008Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",10.9,28.4
"2008Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",13.3,13.4
"2008Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",13.3,13.4
"2009Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",11.1,30.8
"2009Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",11.1,30.8
"2009Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",13.0,3.5
"2009Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",13.0,3.5
"2009Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",10.8,27.5
"2009Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",10.8,27.5
